0.9193862143	hu
0.9172547007	minmax
0.9145508756	genesis
0.9130307088	lustre
0.9126102507	boole
0.9124570784	dirac
0.9119696313	esterel
0.9115986123	argus
0.9112501208	pmos
0.9111569456	espresso
0.9111017414	vista
0.9109934297	sesame
0.9108404150	lamp
0.9105871728	nmos
0.9104879442	lin
0.9104209641	mathematica
0.9104178673	han
0.9102933757	oscar
0.9102001937	hera
0.9100070024	aster
0.9093262984	sofia
0.9091588013	bicmos
0.9089657126	peng
0.9089593206	kurt
0.9088014993	moodle
0.9086696381	titan
0.9085291984	jim
0.9083790742	maple
0.9082851487	octopus
0.9080832935	apps
0.9079808284	modelica
0.9077949086	agora
0.9074811726	lang
0.9074442369	alan
0.9073068864	jigsaw
0.9072404194	bleu
0.9072342919	weka
0.9071951354	mendel
0.9071381896	verilog
0.9070699232	approx
0.9069854451	int
0.9069137354	gestalt
0.9067780977	orca
0.9067338027	raman
0.9065747119	cyclops
0.9065266342	tcl
0.9062497280	apple
0.9062004733	winnow
0.9061274939	zeus
0.9061004654	wu
0.9060537647	cadence
0.9060390794	gale
0.9059401433	finnish
0.9059233634	snort
0.9058687310	comet
0.9057573793	fedora
0.9057122686	pearl
0.9056782643	golog
0.9056537647	pig
0.9056190111	kanban
0.9054390825	artemis
0.9054267090	smos
0.9054156908	wand
0.9050399591	lex
0.9049729918	cao
0.9049416227	castle
0.9048256803	ding
0.9047988013	gnutella
0.9047553948	rev
0.9047517414	gen
0.9047122686	ajax
0.9047120657	pert
0.9047093591	zeno
0.9047040816	austin
0.9045309572	hammer
0.9045306593	eng
0.9041962130	arcade
0.9041737567	aqua
0.9041531281	flexray
0.9039451640	cedar
0.9038875342	morris
0.9038640825	sato
0.9038445667	circus
0.9038329633	heapsort
0.9037811279	catalan
0.9036803624	prima
0.9036539310	mann
0.9034616028	excel
0.9033638001	hydra
0.9033437451	sige
0.9032793272	goto
0.9031960790	ming
0.9031871025	telos
0.9030809436	birch
0.9030725295	dlv
0.9030604369	ward
0.9029407692	mapper
0.9029260646	clifford
0.9029206928	susan
0.9028392838	dragon
0.9027725076	protégé
0.9027668603	eric
0.9027379805	mario
0.9027095097	farmer
0.9026983062	herbrand
0.9025876512	f1
0.9025413311	rex
0.9024865095	flex
0.9024209485	cream
0.9024113021	maya
0.9024032649	janus
0.9023505893	siemens
0.9020594396	mach
0.9020180827	europa
0.9019598706	lisa
0.9019162037	abacus
0.9018831256	delphi
0.9018348960	mash
0.9017328796	magma
0.9016773160	dan
0.9016205938	chameleon
0.9015873389	ithaca
0.9015262278	allen
0.9015126605	trio
0.9015122575	xen
0.9014987850	hex
